,Gender,Age,Annual Income,Spending Score,Income Cluster,Spending and Income Cluster
0,Male,19,15,39,0,4
1,Male,21,15,81,0,2
2,Female,20,16,6,0,4
3,Female,23,16,77,0,2
4,Female,31,17,40,0,4
5,Female,22,17,76,0,2
6,Female,35,18,6,0,4
7,Female,23,18,94,0,2
8,Male,64,19,3,0,4
9,Female,30,19,72,0,2
10,Male,67,19,14,0,4
11,Female,35,19,99,0,2
12,Female,58,20,15,0,4
13,Female,24,20,77,0,2
14,Male,37,20,13,0,4
15,Male,22,20,79,0,2
16,Female,35,21,35,0,4
17,Male,20,21,66,0,2
18,Male,52,23,29,0,4
19,Female,35,23,98,0,2
20,Male,35,24,35,0,4
21,Male,25,24,73,0,2
22,Female,46,25,5,0,4
23,Male,31,25,73,0,2
24,Female,54,28,14,0,4
25,Male,29,28,82,0,2
26,Female,45,28,32,0,4
27,Male,35,28,61,0,2
28,Female,40,29,31,0,4
29,Female,23,29,87,0,2
30,Male,60,30,4,0,4
31,Female,21,30,73,0,2
32,Male,53,33,4,0,4
33,Male,18,33,92,0,2
34,Female,49,33,14,0,4
35,Female,21,33,81,0,2
36,Female,42,34,17,0,4
37,Female,30,34,73,0,2
38,Female,36,37,26,0,4
39,Female,20,37,75,0,2
40,Female,65,38,35,0,4
41,Male,24,38,92,0,2
42,Male,48,39,36,0,4
43,Female,31,39,61,0,1
44,Female,49,39,28,0,4
45,Female,24,39,65,0,2
46,Female,50,40,55,0,1
47,Female,27,40,47,0,1
48,Female,29,40,42,0,1
49,Female,31,40,42,0,1
50,Female,49,42,52,0,1
51,Male,33,42,60,0,1
52,Female,31,43,54,0,1
53,Male,59,43,60,0,1
54,Female,50,43,45,0,1
55,Male,47,43,41,0,1
56,Female,51,44,50,0,1
57,Male,69,44,46,0,1
58,Female,27,46,51,0,1
59,Male,53,46,46,0,1
60,Male,70,46,56,0,1
61,Male,19,46,55,0,1
62,Female,67,47,52,0,1
63,Female,54,47,59,0,1
64,Male,63,48,51,0,1
65,Male,18,48,59,0,1
66,Female,43,48,50,0,1
67,Female,68,48,48,0,1
68,Male,19,48,59,0,1
69,Female,32,48,47,0,1
70,Male,70,49,55,0,1
71,Female,47,49,42,0,1
72,Female,60,50,49,1,1
73,Female,60,50,56,1,1
74,Male,59,54,47,1,1
75,Male,26,54,54,1,1
76,Female,45,54,53,1,1
77,Male,40,54,48,1,1
78,Female,23,54,52,1,1
79,Female,49,54,42,1,1
80,Male,57,54,51,1,1
81,Male,38,54,55,1,1
82,Male,67,54,41,1,1
83,Female,46,54,44,1,1
84,Female,21,54,57,1,1
85,Male,48,54,46,1,1
86,Female,55,57,58,1,1
87,Female,22,57,55,1,1
88,Female,34,58,60,1,1
89,Female,50,58,46,1,1
90,Female,68,59,55,1,1
91,Male,18,59,41,1,1
